Month,Year,Precipitacion,Temp_Media,Flujo,Chapala,Calderon,Pozos,Manantiales,Total,PorcenChap,PorcenCal,PorcenPozo,PorcenMana,Poblacion_ZMG
11,2016,36.4,19.7,8.88,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
12,2016,12.7,18.6,8.99,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
1,2017,0.3,17.5,8.87,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
2,2017,2.9,18.2,9.14,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
3,2017,6.5,21,9.09,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
4,2017,0.1,22.2,9.62,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
5,2017,6.8,24.7,9.7,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
6,2017,101.8,25.5,9.34,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
7,2017,233.3,23.3,8.94,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
8,2017,266.8,23.6,8.86,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
9,2017,247.4,22.7,8.65,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
10,2017,59.4,21.8,8.97,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
11,2017,0.9,20,9.18,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
12,2017,19.8,17.7,9.33,15710744.4166667,2955760.5,7152656.91666667,385780.583333333,26204942.4166667,0.599533636321767,0.112794008588246,0.272950682468109,0.0147216726218781,4980756
1,2018,14.8,16.8,9.35,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
2,2018,16.2,19.5,9.65,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
3,2018,0.1,21.1,9.69,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
4,2018,2.2,22.4,9.99,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
5,2018,57.7,24.8,9.8,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
