NPRODUCTO,CONCURSO,R4,BOLSA,FECHA
40,3224,33,155700000,43401
40,3223,49,151800000,43397
40,3222,30,147700000,43394
40,3221,20,144000000,43390
40,3220,39,139500000,43387
40,3219,34,135900000,43383
40,3218,29,131600000,43380
40,3217,48,127500000,43376
40,3216,40,122600000,43373
40,3215,40,119000000,43369
40,3214,34,115000000,43366
40,3213,36,111500000,43362
40,3212,43,107800000,43359
40,3211,33,104300000,43355
40,3210,34,100000000,43352
40,3209,25,96700000,43348
40,3208,31,92500000,43345
40,3207,40,88800000,43341
40,3206,31,85700000,43338
40,3205,36,82600000,43334
40,3204,48,78300000,43331
40,3203,35,74900000,43327
40,3202,22,71700000,43324
40,3201,23,68500000,43320
40,3200,39,64500000,43317
40,3199,38,60000000,43313
40,3198,44,56000000,43310
40,3197,40,52800000,43306
40,3196,44,48700000,43303
40,3195,34,45500000,43299
40,3194,19,42000000,43296
40,3193,41,39000000,43292
40,3192,41,35000000,43289
40,3191,37,31900000,43285
40,3190,36,30700000,43282
40,3189,37,30600000,43278
40,3188,33,30500000,43275
40,3187,22,30400000,43271
40,3186,30,30300000,43268
40,3185,21,30200000,43264
40,3184,47,30100000,43261
40,3183,30,30000000,43257
40,3182,20,126200000,43254
40,3181,37,122700000,43250
40,3180,33,119200000,43247
40,3179,29,116500000,43243
40,3178,46,112100000,43240
40,3177,24,108500000,43236
40,3176,51,104500000,43233
40,3175,53,100900000,43229
40,3174,48,96800000,43226
40,3173,21,93800000,43222
40,3172,42,89500000,43219
40,3171,20,86200000,43215
40,3170,32,82700000,43212
40,3169,22,79700000,43208
40,3168,33,75900000,43205
40,3167,25,72900000,43201
40,3166,35,68800000,43198
40,3165,19,65900000,43194
40,3164,44,63000000,43191
40,3163,32,60000000,43187
40,3162,46,55900000,43184
40,3161,40,52700000,43180
40,3160,36,49000000,43177
40,3159,33,45700000,43173
40,3158,42,41700000,43170
40,3157,25,38500000,43166
40,3156,28,34800000,43163
40,3155,27,31800000,43159
40,3154,24,30600000,43156
40,3153,24,30600000,43152
40,3152,41,30500000,43149
40,3151,52,30400000,43145
40,3150,44,30300000,43142
40,3149,34,30200000,43138
40,3148,34,30100000,43135
40,3147,34,30000000,43131
40,3146,39,39500000,43128
40,3145,25,37000000,43124
40,3144,25,34000000,43121
40,3143,28,31000000,43117
40,3142,35,30700000,43114
40,3141,25,30600000,43110
40,3140,32,30500000,43107
40,3139,36,30400000,43103
40,3138,16,30300000,43100
40,3137,38,30200000,43096
40,3136,23,30100000,43093
40,3135,19,30000000,43089
40,3134,47,31900000,43086
40,3133,35,30800000,43082
40,3132,21,30700000,43079
40,3131,35,30600000,43075
40,3130,29,30500000,43072
40,3129,42,30400000,43068
40,3128,27,30300000,43065
40,3127,33,30200000,43061
40,3126,16,30100000,43058
40,3125,17,30000000,43054
40,3124,14,174400000,43051
40,3123,19,171500000,43047
40,3122,36,167500000,43044
40,3121,36,164900000,43040
40,3120,43,160700000,43037
40,3119,33,157500000,43033
40,3118,39,154000000,43030
40,3117,32,151000000,43026
40,3116,10,148000000,43023
40,3115,42,145000000,43019
40,3114,40,141000000,43016
40,3113,38,137000000,43012
40,3112,36,133000000,43009
40,3111,23,130000000,43005
40,3110,39,127000000,43002
40,3109,40,125000000,42998
40,3108,40,121000000,42995
40,3107,21,118000000,42991
40,3106,34,114500000,42988
40,3105,48,111000000,42984
40,3104,38,107000000,42981
40,3103,21,104000000,42977
40,3102,35,100000000,42974
40,3101,30,97500000,42970
40,3100,21,95000000,42967
40,3099,42,91500000,42963
40,3098,29,88000000,42960
40,3097,40,85500000,42956
40,3096,19,82000000,42953
40,3095,19,78500000,42949
40,3094,47,75000000,42946
40,3093,30,72000000,42942
40,3092,34,69000000,42939
40,3091,22,66500000,42935
40,3090,38,63000000,42932
40,3089,36,60000000,42928
40,3088,26,57000000,42925
40,3087,45,53800000,42921
40,3086,32,50500000,42918
40,3085,20,47900000,42914
40,3084,32,44500000,42911
40,3083,26,41400000,42907
40,3082,53,38000000,42904
40,3081,25,35000000,42900
40,3080,43,31500000,42897
40,3079,30,30800000,42893
40,3078,35,30700000,42890
40,3077,26,30600000,42886
40,3076,35,30500000,42883
40,3075,42,30400000,42879
40,3074,26,30300000,42876
40,3073,32,30200000,42872
40,3072,42,30100000,42869
40,3071,40,30000000,42865
40,3070,35,42000000,42862
40,3069,50,38500000,42858
40,3068,24,35200000,42855
40,3067,31,32600000,42851
40,3066,13,30900000,42848
40,3065,29,30800000,42844
40,3064,37,30700000,42841
40,3063,37,30600000,42837
40,3062,23,30500000,42834
40,3061,31,30400000,42830
40,3060,40,30300000,42827
40,3059,25,30200000,42823
